score,review,y
1,위생 개판이고 컵에 드러운거 덕지덕지 붙어있어요.제발 좀 닦으세요! 그리고 부탄가스좀 갈아요 제발.알바 화상입을뻔했고 잘못했다가 손님얼굴에 불 붙었으면 어쩌려고그러시나요? 맛은 그저 그래요. 춘천꺼 먹다 여기꺼 못먹겠음.위치빨임.,0
2,맛도 특색없고 비위생적이었어요..!,0
1,"닭갈비는 1인분에 11,000원이구요. 사진은 닭갈비 2인분 주문해서 음식 나오자마자 전혀 손도 안대고 찍은 사진입니다. 진짜 팩트에요 저렇게 나옵니다. 양 보고 진짜 어이가 없었네요. 그리고 무엇보다 직원들 진짜 싸가지 없네요 밥맛 다 떨어지게..양도 직원들 싸가지도 다 없지만 뭣보다 가장 중요한 맛이 없습니다. 이 돈 주고 웨이팅 서가면서 왜 먹는지 전혀 모르겠네요. 재방문 의사 절대 없습니다.",0
2,웨이팅 줄을 가게 안에 세우는게 맞나 싶네요 밥먹고 있는데 옆에 사람들 득실 거려서 먹기 좀 그랬음 맛도 그냥저냥한번 먹고 안갈곳,0
3,"정말 딱 3점짜리 가게.저렴하지도, 맛없지도 그렇다고 맛있지도, 임팩트가 있지도 않은 딱 3점짜리 가게점심식사하기 좋음",0
2,"저녁에는 웨이팅이 있다고 들었는데, 대체 여기 줄을 왜 서는 건지... 직원들 불친절한 건 둘째고 그냥 맛 자체가 X",0
3,,0
1,직원 교육 좀 시키세요 내 돈 주고 밥먹는데 눈치 보여요,0
2,"셀프 반찬인데, 고추나 마늘 없이 쌈무와 쌈채소, 쌈장뿐양도 맛도 그냥 그랬어요..밀키트 데운 맛 입니다",0
5,가끔 가는데 맛있어용,1
3,모듬사리를 추가하면 양이 생각보다 많습니다.볶음밥에 김치가 더 있었으면 하는 아쉬움이 있습니다.가끔 재방문 할 의사 있습니다.,0
4,보통맛은 맛있고순한맛은 다시 안먹을것 같아요직원 분들 친절했어요~~,1
4,그냥 그럼 ..,1
2,,0
2,조리가 다 되어서 빨리 나오는 것이 장점이며 쌈채소와 양배추 샐러드가 싱싱하여 좋았음.맛은 괜찮은 편이나 짠 편이며 대기가 이렇게 많을 정도의 맛은 전혀 아님.업주로 보이는 카운터보는 남성의 태도가 상당히 무례함. 대기 및 들어오는 손님을 본인이 안내하고 관리할 생각을 안하고 줄서있는 손님들한테 다그치듯 묻질 않나 내가 당한것도 아닌데 보기만 해도 불쾌해짐. 손님이 많고 장사가 잘되니 여러번 설명하기 힘들어서 그런거라 이해를 해보지만 돈 내고 감정노동하고 온 기분이라 다시 안가고 싶음.,0
1,비주얼 좋음  음식사진 잘나옴 맛 없음당면끼리 서로 눌어붙음양념 맛 없음 너무 달고 특색 없음 입맛 당기는 맛이 절대 아님 치즈 안 늘어남고기가 퍽퍽하고 고기자체가 별로없음매장 더움테이블에 벌레 날아옴목이 좋아서 장사가 잘 되는 게 분명..,0
1,어제 저녁에 방문했습니다.카운터쪽에 주로 계시던 회색 부리형 마스크 끼신 남자분 너무 불친절해서 불편하게 먹고 나왔네요휴지 어디있냐고 물어봤는데 고갯짓으로 ㅋㅋ 가르키시고 채소 있냐고 여쭤봤는데 손짓으로 ㅋㅋ 다른분들은 친절하신데 .. 아쉽네요,0
5,자주 방문 하는 곳,1
1,들어가자마자 직원들이 손님들한테 화풀이를 하네요. 닭갈비라는 음식이 맛이 없을 수 있는지 몰랐는데 당면 닭 떡 치즈 모든 재료들이 맛없으면 그것도 불가능한 일이 아니었다는 걸 알게 되었습니다.,0
1,여기 위생 너무 안좋아요 테이블 먼지 버너 기름 근처 끈쩍끈쩍 어느정도는 이해 하는데 너무 심해요,0
4,닭갈비 맛있습니다. 늘 사람이 많아서 줄 서야 하는건 아쉬워요.,1
5,,1
1,일단 닭에서 잡내났음물통 입구엔 물때껴있음맛도 양도 무엇하나 특출난건 없었음게다가 휴지까지 셀프인 인건비절감의 교과서근데 사람 많음 ㅋㅋㅋㅋ,0
3,닭갈비는 어디가든 맛이 비슷한거같습니다 양은 푸짐했어요 ~,0
1,"매장에 날파리가 왤캐 많은지 위생 수준은 훤히 보이고 싸가지없는 직원들 인상 팍팍쓰며 응대하는 꼬락서니보니 밥상 엎어버리고 싶은 맘이 굴뚝. 알바들 교육이 이모냥이니 제대로 된 위생, 식자재 관리가 될 지는 안봐도 유투브. 사흘 굶은 꽃제비들도 공짜로 줘도 안 먹을 음식 내놓곤 3만원 뜯어가는 거 보니 칼든 흉노족. 먹고 나서 배아픈 건 따블. 별 하나 준 것만으로도 성은이 망극하옵니다 외치면서 카카오 본사 방향으로 큰절 세 번 올리고 달궈진 닭갈비 무쇠철판에 이마 세 번 찧어라.",0
1,직원 친절이 문제가 아니고그냥 간이 덜배고 맛이 없음 강남역에 위치해서 사람이 많이 가는듯하다맛집은 절대 아님,0
5,치즈닭갈비 맛있어요 자주감,1
1,"장사를 하려는건지 안하려는건지... 공손까지는 바라지도 않고, 손님한테 짜증만 안내도 좋을 것 같습니다.",0
1,남자 앞머리 있는 모자쓴 알바생 매우 불친절함 표정도 팔기 싫은데 억지로 일하는 느낌 양도 적고 맛도 짜고 최악,0
5,맛있게 잘 먹었습니다,1
3,Good/decent but not amazing. A bit too salty and greasy. Too much cheese.,0
1,밑에 사진들 보면 아시겠지만 다른 곳 1인분이 여기 2인분임.. 별점 낮은거 신경쓰였는지 12월 8일자로 다수가 5개를 줬네요?,0
1,사회적 상황이 어렵게 되면서 다들 힘들게 번 돈으로 방문한 손님들이에요. 저는 오늘 처음 갔고 딱 이거만 같이 먹은 일행 모두 이 새벽에 설사하고 있네요. 우연일수도 있죠.20% 정도는 까맣게 태워 주셔서 탄 맛 때문에 버렸어요. 덕분에 볶음밥도 탄 맛이 듬뿍이었어요. 직원분도 무례한 행동을 자연스럽게 하시더라구요. 물통 달라고 손가락으로 까딱까딱 하시던데 자연스러워서 저도 모르게 공손히 드렸네요.이것저것 많이 추가해 주문해서 양은 적당했고 맛도 괜찮았어요.사장님 답글보니 별점 낮으면 마치 진상으로 취급하시는 거 같아서 마음이 무겁네요. 저도 그런 취급을 받겠죠?지금 설사하느라 밤새 화장실 들락날락 했는데 이 정도로 끝내면 좋은 고객 아닌가요.사실 제 평가와 관계없이 위치 좋고 프랜차이즈고 이름 좋아서 계속 장사는 되시겠지요.,0
1,"여기 닭갈비 2인분이 다른 가게 1인분임고기 양 너무 적고 고구마, 떡 같은 기본 사리는 1도 안 들어감 .. 그 흔한 무쌈도 없고 .. 맛집 아니고 그냥 비싼 닭갈비집임 ..",0
5,웨이팅걸리기 전에 가서 바로 착석. 질리지않을 맛. 맛있었음 깻잎 싸먹으면 존맛탱,1
1,,0
1,친절은 기대도 하지 마세요....진짜 말을 어덯게....화가 나네요,0
